S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
46,7.79969,4.038,Ibadan South Market,Ibadan South-East,Oyo,HIGH,LOW,CRITICAL
47,12.3264,14.3938,Konduga Layout,Konduga,Borno,CRITICAL,HIGH,MODERATE
48,6.58276,7.50298,Igbo Extension,Igbo-Eze North,Enugu,HIGH,MODERATE,MODERATE
49,8.6824,5.68931,Suleja GRA,Suleja,Niger,MODERATE,MODERATE,MODERATE
50,9.3937,9.58781,New Bassa,Bassa,Plateau,LOW,LOW,HIGH
51,6.52068,8.10985,Etung Town,Etung,Cross River,LOW,HIGH,CRITICAL
52,5.68135,7.36614,Ideato North Layout,Ideato North,Imo,HIGH,CRITICAL,LOW
53,11.34355,10.41754,Kirfi Extension,Kirfi,Bauchi,LOW,HIGH,LOW
54,7.16747,7.89446,Tarka GRA,Tarka,Benue,MODERATE,HIGH,MODERATE
55,4.81015,7.97616,Inner Mbo,Mbo,Akwa Ibom,LOW,MODERATE,LOW
56,8.62242,12.35888,Zing Village,Zing,Taraba,LOW,MODERATE,HIGH
57,12.28025,5.96667,Shanga Layout,Shanga,Kebbi,MODERATE,LOW,HIGH
58,13.17695,4.81477,Silame Extension,Silame,Sokoto,CRITICAL,LOW,HIGH
59,12.7732,6.61241,Bukkuyum GRA,Bukkuyum,Zamfara,CRITICAL,LOW,CRITICAL
60,6.68757,3.31272,Border Ikeja,Ikeja,Lagos,CRITICAL,CRITICAL,LOW
61,11.93526,8.49568,Fagge Town,Fagge,Kano,LOW,CRITICAL,LOW
62,4.95233,7.05413,Okrika Layout,Okrika,Rivers,MODERATE,LOW,LOW
63,10.58865,8.13808,Igabi Extension,Igabi,Kaduna,LOW,HIGH,CRITICAL
64,6.04837,6.76527,Nnewi South GRA,Nnewi South,Anambra,LOW,MODERATE,LOW
65,5.36572,5.75759,South Ethiope West,Ethiope West,Delta,MODERATE,CRITICAL,MODERATE
66,7.90436,3.93937,Ogbomosho South Estate,Ogbomosho South,Oyo,LOW,HIGH,MODERATE
67,10.70054,13.51082,Kala Layout,Kala-Balge,Borno,MODERATE,LOW,HIGH
68,6.16651,7.4553,Awgu Extension,Awgu,Enugu,CRITICAL,MODERATE,LOW
69,9.32704,5.62515,Katcha GRA,Katcha,Niger,HIGH,HIGH,CRITICAL
70,8.95847,9.49612,West Quan Pan,Quan Pan,Plateau,MODERATE,HIGH,MODERATE
71,6.84858,8.29423,Odukpani Estate,Odukpani,Cross River,MODERATE,CRITICAL,CRITICAL
72,5.61624,6.98091,Ngor Okpala Layout,Ngor Okpala,Imo,CRITICAL,HIGH,LOW
73,9.86821,10.97039,Shira Extension,Shira,Bauchi,MODERATE,LOW,HIGH
74,7.59296,8.86723,Apa GRA,Apa,Benue,LOW,LOW,MODERATE
75,4.71807,7.83435,West Uyo,Uyo,Akwa Ibom,HIGH,LOW,CRITICAL
76,7.4825,11.67773,Wukari Camp,Wukari,Taraba,CRITICAL,HIGH,MODERATE
77,12.98345,5.58494,Yauri Layout,Yauri,Kebbi,LOW,HIGH,MODERATE
78,12.5696,4.29058,Dange Extension,Dange-Shuni,Sokoto,CRITICAL,MODERATE,HIGH
79,13.44873,7.12977,Bungudu GRA,Bungudu,Zamfara,HIGH,MODERATE,LOW
80,6.5813,3.68848,Upper Kosofe,Kosofe,Lagos,CRITICAL,HIGH,HIGH
81,12.11427,8.52932,Kumbotso Town,Kumbotso,Kano,MODERATE,HIGH,HIGH
82,4.7495,7.04738,Oyigbo Layout,Oyigbo,Rivers,HIGH,MODERATE,CRITICAL
83,10.8102,7.39582,Sanga Extension,Sanga,Kaduna,MODERATE,CRITICAL,CRITICAL
84,6.20349,7.14481,Aguata GRA,Aguata,Anambra,CRITICAL,CRITICAL,MODERATE
85,5.64526,6.20754,Border Isoko North,Isoko North,Delta,LOW,HIGH,MODERATE
86,7.74865,3.72937,Akinyele Estate,Akinyele,Oyo,CRITICAL,MODERATE,MODERATE
87,13.14081,13.40266,Guzamala Layout,Guzamala,Borno,CRITICAL,HIGH,CRITICAL
88,6.13825,7.30355,Ezeagu Extension,Ezeagu,Enugu,HIGH,MODERATE,MODERATE
89,10.49613,7.05314,Edati GRA,Edati,Niger,HIGH,MODERATE,HIGH
90,9.18919,9.04131,Upper Jos North,Jos North,Plateau,CRITICAL,MODERATE,MODERATE
91,5.8899,8.16635,Calabar South Market,Calabar South,Cross River,LOW,MODERATE,HIGH
92,5.82174,7.33553,Owerri West Layout,Owerri West,Imo,CRITICAL,HIGH,LOW
93,9.92182,9.65504,Toro Extension,Toro,Bauchi,MODERATE,MODERATE,MODERATE
94,7.17239,9.54162,Vandeikya GRA,Vandeikya,Benue,HIGH,MODERATE,HIGH
95,5.27052,7.51652,Central Etinan,Etinan,Akwa Ibom,HIGH,MODERATE,LOW
96,7.99342,10.2746,Lau Settlement,Lau,Taraba,CRITICAL,CRITICAL,CRITICAL
97,10.9945,5.4172,Gwandu Layout,Gwandu,Kebbi,CRITICAL,CRITICAL,MODERATE
98,13.02051,4.37927,Isa Extension,Isa,Sokoto,CRITICAL,MODERATE,LOW
99,12.6713,7.11198,Maru GRA,Maru,Zamfara,LOW,HIGH,CRITICAL
100,6.58885,3.28891,Greater Ikorodu,Ikorodu,Lagos,MODERATE,CRITICAL,MODERATE
