S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
36,13.052000045776367,5.572000026702881,Gwadadi,Rabah,SOKOTO,HIGH,HIGH,CRITICAL
37,13.052000045776367,6.436999797821045,Galadi,Shinkafi,ZAMFARA,CRITICAL,CRITICAL,HIGH
38,13.045000076293945,10.848999977111816,Garunguna,Karasuwa,YOBE,HIGH,HIGH,MODERATE
39,13.039999961853027,5.815999984741211,Dalijam,Rabah,SOKOTO,CRITICAL,CRITICAL,CRITICAL
40,13.029999732971191,8.3149995803833,Daura,Daura,KATSINA,MODERATE,LOW,LOW
41,13.024999618530273,11.833999633789062,Jajibiriri,Yunusari,YOBE,LOW,HIGH,CRITICAL
42,13.015999794006348,7.834000110626221,Muduru,Mani,KATSINA,LOW,LOW,LOW
43,12.996999740600586,7.046999931335449,Doufoumbara,Zurmi,ZAMFARA,HIGH,LOW,HIGH
44,12.993000030517578,7.605999946594238,Katsina,Katsina,KATSINA,HIGH,HIGH,CRITICAL
45,12.956000328063965,4.416999816894531,Bagizza,Arewa,KEBBI,MODERATE,CRITICAL,CRITICAL
46,12.939000129699707,4.78000020980835,Katami,Silame,SOKOTO,MODERATE,HIGH,HIGH
47,12.937999725341797,4.23199987411499,Lema,Arewa,KEBBI,MODERATE,HIGH,CRITICAL
48,12.920999526977539,13.574999809265137,Kukawa,Kukawa,BORNO,HIGH,CRITICAL,HIGH
49,12.91100025177002,12.618000030517578,Dudu,Mobbar,BORNO,MODERATE,HIGH,CRITICAL
50,12.89799976348877,4.609000205993652,Augi,Augie,KEBBI,LOW,LOW,LOW
51,12.88599967956543,11.930000305175781,Geidam,Geidam,YOBE,HIGH,CRITICAL,CRITICAL
52,12.87600040435791,10.458999633789062,Nguru,Nguru,YOBE,HIGH,MODERATE,MODERATE
53,12.873000144958496,11.045999526977539,Gashua,Bade,YOBE,LOW,CRITICAL,CRITICAL
54,12.871000289916992,6.492000102996826,Moriki,Zurmi,ZAMFARA,MODERATE,HIGH,HIGH
55,12.868000030517578,9.956999778747559,Digimsa,Biriniwa,JIGAWA,HIGH,HIGH,LOW
56,12.85200023651123,7.879000186920166,Mani,Mani,KATSINA,HIGH,HIGH,MODERATE
57,12.845000267028809,5.348999977111816,Dange,Dange Shuni,SOKOTO,CRITICAL,CRITICAL,HIGH
58,12.84000015258789,12.319999694824219,Chirawa,Geidam,YOBE,MODERATE,CRITICAL,CRITICAL
59,12.836000442504883,11.52400016784668,Kariari,Bursari,YOBE,HIGH,CRITICAL,HIGH
60,12.831000328063965,8.746000289916992,Baure,Baure,KATSINA,LOW,HIGH,MODERATE
61,12.82800006866455,6.10699987411499,Ruan Badu,Maradun,ZAMFARA,HIGH,HIGH,MODERATE
62,12.82699966430664,8.11400032043457,Dutsi,Dutsi,KATSINA,HIGH,CRITICAL,CRITICAL
63,12.802000045776367,9.45300006866455,Maigatari,Maigatari,JIGAWA,MODERATE,MODERATE,LOW
64,12.795999526977539,7.559000015258789,Tsanni,Batagarawa,KATSINA,MODERATE,CRITICAL,CRITICAL
65,12.786999702453613,10.23799991607666,Birniwa,Biriniwa,JIGAWA,CRITICAL,CRITICAL,CRITICAL
66,12.774999618530273,9.592000007629395,Galadi,Maigatari,JIGAWA,CRITICAL,CRITICAL,CRITICAL
67,12.770000457763672,6.789000034332275,Zurmi,Zurmi,ZAMFARA,LOW,MODERATE,HIGH
68,12.769000053405762,7.01200008392334,Doumbourou,Zurmi,ZAMFARA,HIGH,MODERATE,MODERATE
69,12.769000053405762,9.019000053405762,Babura,Babura,JIGAWA,HIGH,HIGH,CRITICAL
70,12.746000289916992,6.288000106811523,Jambako,Maradun,ZAMFARA,LOW,LOW,MODERATE
71,12.737000465393066,4.51800012588501,Argungu,Argungu,KEBBI,MODERATE,HIGH,MODERATE
72,12.722000122070312,4.11899995803833,Bui,Arewa,KEBBI,LOW,HIGH,CRITICAL
73,12.708000183105469,10.053000450134277,Hardo Buba,Biriniwa,JIGAWA,HIGH,HIGH,MODERATE
74,12.696999549865723,13.222000122070312,Badu,Guzamala,BORNO,HIGH,MODERATE,MODERATE
75,12.690999984741211,4.874000072479248,Sainyinan Daji,Tambuwal,SOKOTO,HIGH,MODERATE,LOW
76,12.687999725341797,10.258999824523926,Kirikasama,Kiri Kasama,JIGAWA,MODERATE,LOW,LOW
77,12.677000045776367,13.607999801635742,Monguno,Monguno,BORNO,LOW,MODERATE,HIGH
78,12.670000076293945,7.729000091552734,Cheranchi,Charanchi,KATSINA,LOW,MODERATE,MODERATE
79,12.664999961853027,7.484000205993652,Kurfi,Kurfi,KATSINA,HIGH,HIGH,LOW
80,12.659000396728516,10.081999778747559,Garun Gabbas,Malam Madori,JIGAWA,LOW,MODERATE,CRITICAL
81,12.654999732971191,13.281999588012695,Bulabulin,Guzamala,BORNO,LOW,HIGH,HIGH
82,12.651000022888184,8.40999984741211,Kazaure,Kazaure,JIGAWA,CRITICAL,CRITICAL,CRITICAL
83,12.64900016784668,8.04699993133545,Ingawa,Ingawa,KATSINA,HIGH,HIGH,HIGH
84,12.62600040435791,9.397000312805176,Gumel,Gumel,JIGAWA,MODERATE,CRITICAL,HIGH
85,12.612000465393066,12.465999603271484,Jilli,Gubio,BORNO,LOW,MODERATE,CRITICAL
86,12.602999687194824,12.6899995803833,Doili,Gubio,BORNO,CRITICAL,HIGH,MODERATE
87,12.588000297546387,6.586999893188477,Kaura Namoda,Kaura Namoda,ZAMFARA,CRITICAL,HIGH,MODERATE
88,12.574999809265137,5.47599983215332,Tsamiya,Tureta,SOKOTO,LOW,MODERATE,CRITICAL
89,12.564000129699707,6.068999767303467,Talata Mafara,Talata Mafara,ZAMFARA,HIGH,HIGH,HIGH
90,12.562000274658203,6.25,Maradun,Maradun,ZAMFARA,LOW,MODERATE,CRITICAL
91,12.5600004196167,13.791999816894531,Ngelewa,Marte,BORNO,MODERATE,HIGH,MODERATE
92,12.557999610900879,11.807000160217285,Gumsa,Geidam,YOBE,LOW,MODERATE,MODERATE
93,12.557000160217285,9.887999534606934,Dunari,Malam Madori,JIGAWA,LOW,LOW,LOW
94,12.555999755859375,10.930000305175781,Katamma,Jakusko,YOBE,HIGH,HIGH,MODERATE
95,12.548999786376953,3.82699990272522,Kaingwa,Arewa,KEBBI,MODERATE,HIGH,HIGH
96,12.548999786376953,4.422999858856201,Dagere,Birnin Kebbi,KEBBI,MODERATE,HIGH,CRITICAL
97,12.543999671936035,7.827000141143799,Kankiya,Kankia,KATSINA,LOW,LOW,MODERATE
98,12.539999961853027,13.199000358581543,Gajiram,Nganzai,BORNO,MODERATE,HIGH,CRITICAL
99,12.524999618530273,4.966000080108643,Kajiji,Shagari,SOKOTO,LOW,LOW,MODERATE
100,12.49899959564209,8.272000312805176,Kunchi,Kunchi,KANO,MODERATE,MODERATE,MODERATE
101,12.484999656677246,11.49899959564209,Dapchi,Bursari,YOBE,CRITICAL,LOW,HIGH
102,12.473999977111816,5.642000198364258,Kurua,Tureta,SOKOTO,MODERATE,CRITICAL,CRITICAL
103,12.468999862670898,9.73900032043457,Kaugama,Kaugama,JIGAWA,MODERATE,HIGH,HIGH
104,12.468999862670898,11.550000190734863,Zogodo,Tarmuwa,YOBE,MODERATE,LOW,CRITICAL
105,12.454999923706055,4.197000026702881,Birnin Kebbi,Birnin Kebbi,KEBBI,LOW,MODERATE,HIGH
106,12.449000358581543,7.497000217437744,Dutsin Ma,Dutsin Ma,KATSINA,HIGH,LOW,CRITICAL
107,12.449000358581543,10.043999671936035,Hadejia,Hadejia,JIGAWA,MODERATE,MODERATE,HIGH
108,12.447999954223633,12.763999938964844,Bundi,Gubio,BORNO,MODERATE,HIGH,CRITICAL
109,12.439000129699707,9.364999771118164,Fagan Kawo,Sule Tankarkar,JIGAWA,LOW,LOW,LOW
110,12.435999870300293,4.749000072479248,Malissa,Gwandu,KEBBI,LOW,CRITICAL,MODERATE
111,12.428999900817871,8.522000312805176,Dambarta,Dambatta,KANO,HIGH,LOW,MODERATE
112,12.428999900817871,9.196000099182129,Garki,Garki,JIGAWA,LOW,LOW,LOW
113,12.425000190734863,8.85200023651123,Kanya Baba,Babura,JIGAWA,LOW,MODERATE,LOW
114,12.397000312805176,9.588000297546387,Karama,Gagarawa,JIGAWA,MODERATE,MODERATE,MODERATE
115,12.390999794006348,6.385000228881836,Damaga,Maradun,ZAMFARA,MODERATE,MODERATE,MODERATE
116,12.387999534606934,5.442999839782715,Mallamji,Tureta,SOKOTO,LOW,MODERATE,LOW
117,12.385000228881836,12.5,Yasku,Magumeri,BORNO,HIGH,MODERATE,LOW
118,12.369999885559082,13.444999694824219,Bida,Monguno,BORNO,LOW,LOW,LOW
119,12.36400032043457,10.777000427246094,Jakusko,Jakusko,YOBE,LOW,LOW,MODERATE
120,12.36400032043457,13.835000038146973,Marte,Marte,BORNO,LOW,MODERATE,HIGH
121,12.335000038146973,12.222000122070312,Dumburum,Tarmuwa,YOBE,CRITICAL,HIGH,MODERATE
122,12.333000183105469,3.983000040054321,Tilli,Bunza,KEBBI,HIGH,MODERATE,LOW
123,12.317999839782715,4.202000141143799,Kalgo,Kalgo,KEBBI,HIGH,HIGH,MODERATE
124,12.312000274658203,10.699999809265137,Kinsha,Gamawa,BAUCHI,CRITICAL,HIGH,LOW
125,12.286999702453613,6.026999950408936,Yango,Talata Mafara,ZAMFARA,MODERATE,MODERATE,MODERATE
126,12.281000137329102,10.354999542236328,Katagum,Zaki,BAUCHI,LOW,LOW,LOW
127,12.27299976348877,4.85099983215332,Ganua,Tambuwal,SOKOTO,MODERATE,LOW,LOW
128,12.265000343322754,6.553999900817871,Bungudu,Bungudu,ZAMFARA,MODERATE,MODERATE,LOW
129,12.26200008392334,11.322999954223633,Bornu Kiji,Fune,YOBE,LOW,LOW,LOW
130,12.26200008392334,11.739999771118164,Lantewa,Tarmuwa,YOBE,HIGH,MODERATE,LOW
131,12.258999824523926,3.736999988555908,Rafin Tsaka,Arewa,KEBBI,HIGH,HIGH,HIGH
132,12.237000465393066,8.244999885559082,Bichi,Bichi,KANO,MODERATE,MODERATE,LOW
133,12.236000061035156,5.639999866485596,Ruwan Jema,Bukkuyum,ZAMFARA,HIGH,LOW,LOW
134,12.234999656677246,9.920000076293945,Keffin Hausa,Kafin Hausa,JIGAWA,MODERATE,MODERATE,MODERATE
135,12.229000091552734,6.431000232696533,Ruwan Doruwa,Bungudu,ZAMFARA,MODERATE,HIGH,CRITICAL
136,12.225000381469727,8.538999557495117,Kunya,Minjibir,KANO,CRITICAL,HIGH,MODERATE
137,12.213000297546387,4.380000114440918,Jega,Jega,KEBBI,HIGH,CRITICAL,CRITICAL
138,12.20300006866455,7.478000164031982,Yan Tumaki,Dan Musa,KATSINA,MODERATE,MODERATE,LOW
139,12.194000244140625,14.029999732971191,Logomani,Ngala,BORNO,MODERATE,MODERATE,LOW
140,12.166000366210938,10.998000144958496,Zeddi,Jakusko,YOBE,HIGH,MODERATE,LOW
141,12.163999557495117,6.664000034332275,Gusau,Gusau,ZAMFARA,MODERATE,HIGH,CRITICAL
142,12.157999992370605,11.472999572753906,Gubber,Tarmuwa,YOBE,HIGH,MODERATE,HIGH
143,12.147000312805176,9.168999671936035,Ringim,Ringim,JIGAWA,HIGH,MODERATE,MODERATE
144,12.145000457763672,9.545999526977539,Harbo,Jahun,JIGAWA,MODERATE,HIGH,CRITICAL
145,12.137999534606934,5.116000175476074,Gummi,Gummi,ZAMFARA,HIGH,MODERATE,MODERATE
146,12.131999969482422,10.541999816894531,Gamawa,Gamawa,BAUCHI,CRITICAL,HIGH,MODERATE
147,12.126999855041504,7.671999931335449,Musawa,Musawa,KATSINA,HIGH,MODERATE,LOW
148,12.121000289916992,4.736999988555908,Kebbe,Kebbe,SOKOTO,MODERATE,CRITICAL,CRITICAL
149,12.111000061035156,5.927999973297119,Anka,Anka,ZAMFARA,HIGH,HIGH,CRITICAL
150,12.109999656677246,4.127999782562256,Mungadi,Maiyama,KEBBI,MODERATE,HIGH,CRITICAL
151,12.109999656677246,13.244999885559082,Kesangala,Nganzai,BORNO,LOW,MODERATE,MODERATE
152,12.098999977111816,8.75100040435791,Gezawa,Gezawa,KANO,HIGH,MODERATE,MODERATE
153,12.083000183105469,10.114999771118164,Bulangu,Kafin Hausa,JIGAWA,HIGH,MODERATE,LOW
154,12.07800006866455,4.372000217437744,Maiyema,Maiyama,KEBBI,LOW,LOW,LOW
155,12.07800006866455,14.444999694824219,Kala Kafra,Kala/Balge,BORNO,HIGH,HIGH,HIGH
156,12.076000213623047,5.307000160217285,Birnin Tudu,Gummi,ZAMFARA,HIGH,HIGH,HIGH
157,12.071000099182129,12.809000015258789,Magumeri,Magumeri,BORNO,HIGH,MODERATE,LOW
158,12.057999610900879,11.670999526977539,Dabalam,Tarmuwa,YOBE,LOW,MODERATE,HIGH
159,12.048999786376953,7.995999813079834,Shanono,Shanono,KANO,LOW,LOW,LOW
160,12.043000221252441,5.745999813079834,Nasarawa,Bukkuyum,ZAMFARA,LOW,HIGH,HIGH
161,12.041000366210938,6.375999927520752,Bingi,Bungudu,ZAMFARA,HIGH,MODERATE,MODERATE
162,12.027000427246094,13.932999610900879,Dikwa,Dikwa,BORNO,CRITICAL,HIGH,HIGH
163,12.010000228881836,11.130000114440918,Gaska,Fune,YOBE,MODERATE,LOW,LOW
164,11.994999885559082,3.92300009727478,Geza,Dandi,KEBBI,HIGH,CRITICAL,HIGH
165,11.967000007629395,14.095999717712402,Malum Maja,Dikwa,BORNO,LOW,MODERATE,HIGH
166,11.965999603271484,7.127999782562256,Geauri,Tsafe,ZAMFARA,LOW,HIGH,CRITICAL
167,11.954000473022461,10.454999923706055,Udubo,Gamawa,BAUCHI,LOW,MODERATE,MODERATE
168,11.928999900817871,7.418000221252441,Kankara,Kankara,KATSINA,MODERATE,CRITICAL,CRITICAL
169,11.92300033569336,11.645000457763672,Alagarno,Fune,YOBE,MODERATE,HIGH,HIGH
170,11.918999671936035,13.612000465393066,Mafa,Mafa,BORNO,LOW,MODERATE,MODERATE
171,11.916999816894531,4.190000057220459,Suru,Suru,KEBBI,CRITICAL,CRITICAL,CRITICAL
172,11.895000457763672,5.769999980926514,Gwashi,Bukkuyum,ZAMFARA,MODERATE,MODERATE,LOW
173,11.894000053405762,4.392000198364258,Anderai,Maiyama,KEBBI,LOW,HIGH,HIGH
174,11.881999969482422,5.616000175476074,Adebka,Bukkuyum,ZAMFARA,MODERATE,LOW,LOW
175,11.875,10.812000274658203,Zindiwa,Gamawa,BAUCHI,HIGH,MODERATE,MODERATE
176,11.871000289916992,13.402000427246094,Limanti,Mafa,BORNO,LOW,LOW,LOW
177,11.857000350952148,6.0,Bagega,Anka,ZAMFARA,LOW,LOW,LOW
178,11.855999946594238,9.006999969482422,Gaya,Gaya,KANO,HIGH,MODERATE,HIGH
179,11.852999687194824,3.664000034332275,Kamba,Dandi,KEBBI,HIGH,MODERATE,LOW
180,11.852999687194824,9.970999717712402,Itas,Itas/Gadau,BAUCHI,HIGH,CRITICAL,CRITICAL
181,11.85099983215332,13.16100025177002,Maiduguri,Maiduguri,BORNO,HIGH,MODERATE,HIGH
182,11.845999717712402,9.258999824523926,Duru,Dutse,JIGAWA,MODERATE,MODERATE,MODERATE
183,11.83899974822998,12.9399995803833,Auno,Konduga,BORNO,LOW,MODERATE,LOW
184,11.82800006866455,10.168999671936035,Gadau,Itas/Gadau,BAUCHI,HIGH,HIGH,LOW
185,11.819000244140625,5.510000228881836,Kerun,Bukkuyum,ZAMFARA,LOW,LOW,HIGH
186,11.817999839782715,12.631999969482422,Mainok,Kaga,BORNO,HIGH,HIGH,MODERATE
187,11.800000190734863,8.847999572753906,Wudil,Wudil,KANO,HIGH,HIGH,HIGH
188,11.791999816894531,6.863999843597412,Babampa,Tsafe,ZAMFARA,LOW,LOW,LOW
189,11.781999588012695,9.612000465393066,Kiyawa,Kiyawa,JIGAWA,LOW,MODERATE,CRITICAL
190,11.779999732971191,8.019000053405762,Karaye,Karaye,KANO,HIGH,LOW,HIGH
191,11.779000282287598,7.625999927520752,Malumfashi,Malumfashi,KATSINA,LOW,MODERATE,LOW
192,11.777000427246094,4.434999942779541,Libba,Maiyama,KEBBI,HIGH,HIGH,MODERATE
193,11.777000427246094,10.449999809265137,Madara,Katagum,BAUCHI,LOW,LOW,LOW
194,11.765999794006348,8.430999755859375,Kura,Kura,KANO,LOW,HIGH,CRITICAL
195,11.762999534606934,4.184999942779541,Giro,Suru,KEBBI,MODERATE,MODERATE,HIGH
196,11.758000373840332,5.321000099182129,Sakke,Wasagu/Danko,KEBBI,LOW,LOW,LOW
197,11.755999565124512,12.255000114440918,Ngamdu,Kaga,BORNO,LOW,MODERATE,HIGH
198,11.74899959564209,11.965999603271484,Damaturu,Damaturu,YOBE,HIGH,HIGH,MODERATE
199,11.734000205993652,7.353000164031982,Guga,Bakori,KATSINA,MODERATE,CRITICAL,CRITICAL
200,11.732999801635742,11.263999938964844,Dalla Jorau,Potiskum,YOBE,LOW,MODERATE,MODERATE
201,11.729999542236328,13.302000045776367,Wamuri,Konduga,BORNO,CRITICAL,HIGH,LOW
202,11.722999572753906,6.788000106811523,Sauri,Tsafe,ZAMFARA,HIGH,LOW,MODERATE
203,11.720000267028809,7.019000053405762,Faskari,Faskari,KATSINA,HIGH,LOW,LOW
204,11.718999862670898,6.593999862670898,Magami,Gusau,ZAMFARA,LOW,LOW,LOW
205,11.708999633789062,11.069999694824219,Potiskum,Potiskum,YOBE,LOW,MODERATE,HIGH
206,11.706000328063965,11.836999893188477,Murba,Damaturu,YOBE,CRITICAL,HIGH,CRITICAL
207,11.692000389099121,12.583999633789062,Marguba,Kaga,BORNO,HIGH,HIGH,HIGH
208,11.677000045776367,10.189000129699707,Azare,Katagum,BAUCHI,HIGH,HIGH,MODERATE
209,11.673999786376953,10.710000038146973,Dambam,Damban,BAUCHI,HIGH,HIGH,HIGH
210,11.666000366210938,9.934000015258789,Jamaare,Jama'are,BAUCHI,MODERATE,MODERATE,MODERATE
211,11.663999557495117,8.265999794006348,Bebeji,Bebeji,KANO,LOW,LOW,LOW
212,11.66100025177002,13.418000221252441,Konduga,Konduga,BORNO,MODERATE,LOW,MODERATE
213,11.65999984741211,8.883999824523926,Garko,Garko,KANO,HIGH,LOW,MODERATE
214,11.654999732971191,4.519000053405762,Fokku,Kebbe,SOKOTO,LOW,LOW,LOW
215,11.652999877929688,13.038999557495117,Dalwa West,Konduga,BORNO,MODERATE,CRITICAL,HIGH
216,11.651000022888184,8.192999839782715,Yako,Kiru,KANO,LOW,LOW,LOW
217,11.649999618530273,3.615000009536743,Lollo,Bagudo,KEBBI,LOW,MODERATE,CRITICAL
218,11.649999618530273,10.52299976348877,Bulkachuwa,Katagum,BAUCHI,LOW,LOW,MODERATE
219,11.638999938964844,4.072000026702881,Dakingari,Suru,KEBBI,MODERATE,CRITICAL,HIGH
220,11.630000114440918,6.288000106811523,Dan Gulbi,Maru,ZAMFARA,LOW,MODERATE,HIGH
221,11.630000114440918,7.157999992370605,Daudawa,Faskari,KATSINA,LOW,MODERATE,MODERATE
222,11.62600040435791,9.057999610900879,Hamdullahi,Albasu,KANO,LOW,HIGH,HIGH
223,11.614999771118164,14.065999984741211,Gulumba Gana,Bama,BORNO,MODERATE,HIGH,CRITICAL
224,11.586000442504883,4.611999988555908,Kurama Suko,Fakai,KEBBI,MODERATE,MODERATE,MODERATE
225,11.57800006866455,5.984000205993652,Daraga,Maru,ZAMFARA,MODERATE,HIGH,HIGH
226,11.571000099182129,9.109000205993652,Takai,Takai,KANO,LOW,MODERATE,CRITICAL
227,11.567000389099121,4.426000118255615,Sabon Gari,Koko/Besse,KEBBI,HIGH,LOW,HIGH
228,11.560999870300293,7.02299976348877,Mai Gora,Faskari,KATSINA,LOW,MODERATE,MODERATE
229,11.560999870300293,10.845999717712402,Jalam,Damban,BAUCHI,LOW,HIGH,HIGH
230,11.555999755859375,7.431000232696533,Bakori,Bakori,KATSINA,HIGH,MODERATE,LOW
231,11.555000305175781,6.836999893188477,Rusu,Gusau,ZAMFARA,HIGH,HIGH,LOW
232,11.550999641418457,3.710999965667725,Illo,Bagudo,KEBBI,MODERATE,MODERATE,MODERATE
233,11.548999786376953,4.98799991607666,Mahuta,Fakai,KEBBI,HIGH,HIGH,MODERATE
234,11.54800033569336,8.576000213623047,Rano,Rano,KANO,LOW,LOW,MODERATE
235,11.538000106811523,4.78000020980835,Marafa,Fakai,KEBBI,HIGH,HIGH,LOW
236,11.53499984741211,9.265000343322754,Kachako,Takai,KANO,HIGH,MODERATE,LOW
237,11.529000282287598,12.98799991607666,Masba,Konduga,BORNO,MODERATE,HIGH,HIGH
238,11.527000427246094,7.314000129699707,Funtua,Funtua,KATSINA,LOW,LOW,HIGH
239,11.527000427246094,8.95300006866455,Sumaila,Sumaila,KANO,MODERATE,MODERATE,MODERATE
240,11.520000457763672,11.458999633789062,Daura,Fune,YOBE,LOW,HIGH,HIGH
241,11.519000053405762,13.6850004196167,Bama,Bama,BORNO,LOW,MODERATE,CRITICAL
242,11.515999794006348,10.42199993133545,Chinade,Katagum,BAUCHI,LOW,MODERATE,HIGH
243,11.513999938964844,4.263999938964844,Kende,Bagudo,KEBBI,HIGH,HIGH,HIGH
244,11.491999626159668,3.627000093460083,Bani,Bagudo,KEBBI,MODERATE,MODERATE,HIGH
245,11.491999626159668,11.939000129699707,Gujba,Gujba,YOBE,LOW,LOW,LOW
246,11.484000205993652,12.314000129699707,Goniri,Gujba,YOBE,LOW,MODERATE,HIGH
247,11.475000381469727,9.911999702453613,Kumuo,Shira,BAUCHI,HIGH,HIGH,HIGH
248,11.46399974822998,9.03600025177002,Falali,Sumaila,KANO,MODERATE,MODERATE,MODERATE
249,11.458000183105469,13.718999862670898,Nugurosoye,Bama,BORNO,LOW,MODERATE,HIGH
250,11.451000213623047,7.130000114440918,Dan Dume,Dandume,KATSINA,LOW,HIGH,HIGH
251,11.442999839782715,9.503000259399414,Birnin Kudu,Birnin Kudu,JIGAWA,HIGH,LOW,MODERATE
252,11.437999725341797,6.343999862670898,Mutumji,Maru,ZAMFARA,LOW,LOW,HIGH
253,11.432000160217285,8.234000205993652,Gajale,Bebeji,KANO,LOW,MODERATE,MODERATE
254,11.42300033569336,5.234000205993652,Zuru,Zuru,KEBBI,LOW,MODERATE,CRITICAL
255,11.413999557495117,8.482999801635742,Rurum,Rano,KANO,MODERATE,MODERATE,MODERATE
256,11.404999732971191,4.583000183105469,Koko,Shanga,KEBBI,CRITICAL,MODERATE,MODERATE
257,11.397000312805176,4.968999862670898,Bajida,Fakai,KEBBI,MODERATE,LOW,LOW
258,11.388999938964844,3.555000066757202,Sanbi,Bagudo,KEBBI,MODERATE,CRITICAL,CRITICAL
259,11.38700008392334,8.723999977111816,Burumburum,Tudun Wada,KANO,HIGH,HIGH,HIGH
260,11.383999824523926,7.561999797821045,Danja,Danja,KATSINA,LOW,HIGH,MODERATE
261,11.381999969482422,12.722000122070312,Yajiwa,Konduga,BORNO,MODERATE,LOW,CRITICAL
262,11.368000030517578,5.809999942779541,Wasagu,Wasagu/Danko,KEBBI,HIGH,MODERATE,LOW
263,11.357000350952148,10.675000190734863,Sade,Darazo,BAUCHI,HIGH,HIGH,HIGH
264,11.352999687194824,14.21500015258789,Kumshe,Bama,BORNO,HIGH,HIGH,MODERATE
265,11.350000381469727,9.670000076293945,Samamiya,Gwaram,JIGAWA,LOW,MODERATE,CRITICAL
266,11.34000015258789,7.388000011444092,Gangara,Giwa,KADUNA,HIGH,CRITICAL,CRITICAL
267,11.338000297546387,9.130999565124512,Birnin Bako,Sumaila,KANO,LOW,MODERATE,HIGH
268,11.333999633789062,13.928000450134277,Dipchari,Bama,BORNO,MODERATE,MODERATE,CRITICAL
269,11.32800006866455,4.60200023651123,Kangi,Shanga,KEBBI,MODERATE,MODERATE,MODERATE
270,11.32699966430664,7.934000015258789,Gimi,Makarfi,KADUNA,LOW,LOW,HIGH
271,11.319999694824219,4.017000198364258,Bele,Bagudo,KEBBI,MODERATE,MODERATE,MODERATE
